step,coverage,collisions,bumper_total
5000,3.833333333333333,0,0
10000,5.729166666666666,0,0
15000,6.520833333333333,0,0
20000,11.9375,0,0
25000,14.708333333333334,0,0
30000,17.083333333333332,0,0
35000,17.354166666666668,0,0
40000,17.354166666666668,0,0
45000,17.395833333333332,0,0
50000,17.395833333333332,0,0
55000,17.395833333333332,0,0
60000,17.395833333333332,0,0
65000,17.395833333333332,0,0
70000,17.395833333333332,0,0
75000,17.395833333333332,0,0
80000,17.395833333333332,0,0
85000,17.395833333333332,0,0
90000,17.395833333333332,0,0
95000,17.395833333333332,0,0
100000,17.395833333333332,0,0
