step,coverage,collisions,bumper_total
67543,11.604166666666666,6903,0
163366,16.979166666666668,7143,0
277598,41.16666666666667,7386,0
394885,42.97916666666667,7720,0
513916,45.104166666666664,7789,0
630775,45.54166666666667,8026,0
752763,46.041666666666664,8192,0
875684,46.33333333333333,8245,0
997610,46.875,8331,0
1123505,46.9375,8378,0
1250323,47.020833333333336,8415,0
1378424,47.125,8443,0
1507001,47.270833333333336,8476,0
1636020,47.333333333333336,8517,0
1764544,47.375,8547,0
1893301,47.375,8582,0
2022394,47.41666666666667,8641,0
2153005,47.4375,8671,0
2283610,47.479166666666664,8716,0
2412245,47.5,8776,0
