step,coverage,collisions,bumper_total
61305,12.0625,7429,0
109910,18.104166666666664,8159,0
153636,19.666666666666664,9903,0
203922,20.041666666666664,10882,0
259644,30.291666666666668,13340,0
319238,42.9375,18211,0
373549,50.31250000000001,19473,0
391667,51.27083333333333,21666,0
404667,52.604166666666664,26024,0
438808,54.145833333333336,27587,0
467309,54.833333333333336,32104,0
509865,60.10416666666667,34428,0
555755,62.22916666666667,35684,0
587148,62.83333333333333,39109,0
625896,63.645833333333336,40583,0
662397,63.645833333333336,40837,0
683878,63.645833333333336,43090,0
736340,63.87500000000001,46250,0
802398,63.95833333333333,48409,0
862639,64.0625,52305,0
